		C2C						A2A						CF2CF						
	Component	Gator	IC3	IC3-Dial	A3E	Story	ICCBot	Gator	IC3	IC3-Dial	A3E	Story	ICCBot	Gator	IC3	IC3-Dial	A3E	Story	ICCBot	
ActivityCommunication1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ActivityCommunication2	3	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	
ActivityCommunication3	3	2	1	1	0	0	1	2	1	1	0	0	1	2	1	1	0	0	1	
ActivityCommunication4	3	1	1	1	0	0	1	1	1	1	0	0	1	1	1	1	0	0	1	
ActivityCommunication5	3	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	
ActivityCommunication6	3	1	0	0	1	1	0	1	0	0	1	1	0	1	0	0	1	1	0	
ActivityCommunication7	3	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	
ActivityCommunication8	3	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	
BroadcastTaintAndLeak1	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	
ComponentNotInManifest1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	
EventOrdering1	3	1	1	1	0	0	1	1	1	1	0	0	1	1	1	1	0	0	1	
IntentSink1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
IntentSink2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
IntentSource1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ServiceCommunication1	2	0	1	1	1	0	1	0	0	0	0	0	0	0	1	1	1	0	1	
SharedPreferences1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Singletons1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
UnresolvableIntent1	3	2	2	2	0	0	2	2	2	2	0	0	2	2	2	2	0	0	2	
