		C2C						A2A						CF2CF						
	Component	Gator	IC3	IC3-Dial	A3E	Story	ICCBot	Gator	IC3	IC3-Dial	A3E	Story	ICCBot	Gator	IC3	IC3-Dial	A3E	Story	ICCBot	
icc_dynregister1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	
icc_dynregister2	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	
icc_explicit1	2	0	0	1	0	1	1	0	0	1	0	1	1	0	0	1	0	1	1	
icc_explicit_nosrc_nosink	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
icc_explicit_nosrc_sink	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
icc_explicit_src_nosink	2	0	0	1	0	1	1	0	0	1	0	1	1	0	0	1	0	1	1	
icc_explicit_src_sink	2	0	0	1	0	1	1	0	0	1	0	1	1	0	0	1	0	1	1	
icc_implicit_action	2	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1	
icc_implicit_category	2	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1	
icc_implicit_data1	2	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	
icc_implicit_data2	2	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1	
icc_implicit_mix1	3	0	1	2	0	0	2	0	1	2	0	0	2	0	1	2	0	0	2	
icc_implicit_mix2	2	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1	
icc_implicit_nosrc_nosink	2	1	1	1	0	0	1	1	1	1	0	0	1	1	1	1	0	0	1	
icc_implicit_nosrc_sink	2	1	1	1	0	0	1	1	1	1	0	0	1	1	1	1	0	0	1	
icc_implicit_src_nosink	2	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1	
icc_implicit_src_sink	2	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1	
icc_intentservice	2	0	0	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	1	
icc_rpc_comprehensive	3	0	1	2	1	1	2	0	0	1	0	1	1	0	1	2	1	1	2	
icc_stateful	2	0	0	1	0	1	1	0	0	1	0	1	1	0	0	1	0	1	1	
rpc_localservice	2	0	1	1	1	0	1	0	0	0	0	0	0	0	1	1	1	0	1	
rpc_messengerservice	2	0	1	1	1	0	1	0	0	0	0	0	0	0	1	1	1	0	1	
rpc_remoteservice	2	0	1	1	1	0	1	0	0	0	0	0	0	0	1	1	1	0	1	
rpc_returnsensitive	2	0	1	1	1	0	1	0	0	0	0	0	0	0	1	1	1	0	1	
