		C2C						A2A						CF2CF						
	Component	Gator	IC3	IC3-Dial	A3E	Story	ICCBot	Gator	IC3	IC3-Dial	A3E	Story	ICCBot	Gator	IC3	IC3-Dial	A3E	Story	ICCBot	
addAction1	2	0	0	0	1	0	1	0	0	0	1	0	1	0	0	0	1	0	1	
addAction2	2	0	0	0	1	0	1	0	0	0	1	0	1	0	0	0	1	0	1	
requestLocationUpdates	3	0	1	1	2	0	2	0	0	0	0	0	0	0	1	1	2	0	2	
requestNetwork	2	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	1	
send	3	0	0	0	1	0	1	0	0	0	1	0	1	0	0	0	1	0	1	
sendIntent	2	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	
sendTextMessage1	2	0	0	0	1	0	1	0	0	0	1	0	1	0	0	0	1	0	1	
sendTextMessage2	2	0	0	0	1	0	1	0	0	0	1	0	1	0	0	0	1	0	1	
setDeleteIntent	2	0	0	0	1	0	1	0	0	0	1	0	1	0	0	0	1	0	1	
setExact	2	0	0	0	1	0	1	0	0	0	1	0	1	0	0	0	1	0	1	
setExactAndAllowWhileIdle	2	0	0	0	1	0	1	0	0	0	1	0	1	0	0	0	1	0	1	
setFullScreenIntent	2	0	0	0	1	0	1	0	0	0	1	0	1	0	0	0	1	0	1	
setInexactRepeating	2	0	0	0	1	0	1	0	0	0	1	0	1	0	0	0	1	0	1	
setLatestEventInfo	2	0	0	0	1	0	1	0	0	0	1	0	1	0	0	0	1	0	1	
setOnClickPendingIntent	3	0	0	0	2	0	2	0	0	0	1	0	1	0	0	0	2	0	2	
setPendingIntentTemplate	3	0	0	0	2	0	2	0	0	0	1	0	1	0	0	0	2	0	2	
setRepeating	2	0	0	0	1	0	1	0	0	0	1	0	1	0	0	0	1	0	1	
setSendDataMessage	3	0	0	0	2	0	2	0	0	0	2	0	2	0	0	0	2	0	2	
setWindow	2	0	0	0	1	0	1	0	0	0	1	0	1	0	0	0	1	0	1	
startIntentSenderForResult	2	0	0	0	2	0	2	0	0	0	2	0	2	0	0	0	2	0	2	
