		C2C						A2A						CF2CF						
	Component	Gator	IC3	IC3-Dial	A3E	Story	ICCBot	Gator	IC3	IC3-Dial	A3E	Story	ICCBot	Gator	IC3	IC3-Dial	A3E	Story	ICCBot	
activity_1	7	14	14	14	0	14	14	14	14	14	0	14	14	14	14	14	0	14	14	
activity_2	7	13	13	13	0	13	13	13	13	13	0	13	13	13	13	13	0	13	13	
activity_fragment_1	3	1	1	1	0	4	4	1	1	1	0	4	4	1	1	1	0	10	10	
activity_fragment_2	2	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	3	8	
activity_innerclass_1	2	1	1	1	0	1	1	1	1	1	0	1	1	1	1	1	0	1	1	
activity_innerclass_2	2	2	2	2	0	2	2	2	2	2	0	2	2	2	2	2	0	2	2	
fragment_1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	3	
fragment_2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	12	
innerclass_1	2	1	1	1	0	1	1	1	1	1	0	1	1	1	1	1	0	1	1	
innerclass_2	2	1	1	1	0	1	1	1	1	1	0	1	1	1	1	1	0	1	1	
