	Total	separated						mainNot						exportNot						
		Gator	IC3	IC3-Dial	A3E	Story	ICCBot	Gator	IC3	IC3-Dial	A3E	Story	ICCBot	Gator	IC3	IC3-Dial	A3E	Story	ICCBot	
com.lockscreen.lockertheme.zipper.king.lion	19	14	8	8	12	14	4	15	12	12	18	18	11	13	9	9	15	15	8	
sandhills.truckpaper.app	23	21	23	21	23	23	12	22	22	22	22	22	16	20	20	20	20	20	14	
appgamswmcom.wpapp	3	3	3	3	3	3	3	2	2	2	2	2	2	1	1	1	1	1	1	
muslim.datingandchat	82	82	82	82	49	51	48	81	81	81	73	73	81	74	74	74	66	66	74	
com.shop66.woocommerce	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	
com.rta.rtadubai	11	11	8	8	11	11	9	10	10	10	10	10	10	8	6	6	8	8	8	
co.lynde.svfmk	215	215	215	215	188	215	34	214	214	214	214	214	213	192	192	192	190	192	176	
com.kuyhaa.android.auto.call.recorder.acr.lite.autocallrecorder.voicecallrecorder.tools	12	8	6	6	12	9	2	9	9	9	11	9	9	7	7	7	9	7	6	
com.cellit.cellitnews.wsyx	12	7	10	12	10	7	6	11	11	11	10	9	7	10	10	10	9	8	6	
com.tekisapp.recetasdecomidavenezolanas	3	1	3	0	3	0	0	2	2	0	2	0	0	2	2	0	2	0	0	
com.klimbo.wordsearchadventure	41	30	41	41	36	38	21	34	40	40	38	38	35	31	37	37	35	35	32	
com.eidtime.abiauto	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	
com.qrcode.reader.powerqrtools.barcodeqrcodereaderscanner	9	4	9	9	7	5	1	8	8	8	8	5	4	6	7	7	6	4	2	
org.familyspotlight.app	14	6	14	14	14	14	0	13	13	13	13	13	2	13	13	13	13	13	2	
com.nextmedia	88	76	86	86	86	88	43	82	87	87	87	87	79	74	79	79	79	79	67	
com.TimeAndMoney	5	0	2	0	5	0	0	0	4	0	4	0	0	0	4	0	4	0	0	
com.hollmanmedia.android.TestScanner	2	2	2	2	0	0	0	1	1	1	0	0	0	1	1	1	0	0	0	
com.gamy.Kids.Water.Surfing.Chained.bike.race	7	7	7	7	7	7	6	6	6	6	6	6	6	6	6	6	6	6	6	
com.andromo.dev518100.app497069	24	5	24	24	24	24	5	22	23	23	23	23	22	22	23	23	23	23	22	
com.ljmobile.move.app	17	13	17	17	10	9	9	15	16	16	14	14	14	13	14	14	13	13	13	
com.goozy	24	2	2	24	15	15	2	2	5	23	23	23	3	1	3	21	21	21	2	
com.AkinYaman.ReadySteadyFight	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	
com.zoho.desk.radar	13	13	13	13	11	13	4	12	12	12	12	12	9	9	9	9	9	9	6	
com.curromartinez.personalloan	22	11	8	8	10	10	8	21	20	20	13	20	20	15	13	13	12	14	12	
com.asp.games.real.truck.cago.parking	7	7	7	7	7	7	7	6	6	6	6	6	6	5	5	5	5	5	5	
com.soulmadeapps.beritaindonesiarss	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	
com.radiodetulancingohidalgo.radiosdemexico	18	12	18	18	15	13	3	12	17	17	15	14	4	9	14	14	12	11	2	
com.app2sales.febracis	10	8	10	10	8	10	2	9	9	9	9	9	9	5	6	6	5	6	3	
com.mywebgrocer.saveonfoodsshopping	50	9	50	50	43	40	3	49	49	49	49	49	23	47	47	47	44	47	21	
com.ibubblegame.jewelscareer	2	2	2	2	2	2	0	1	1	1	1	1	0	1	1	1	1	1	0	
com.Voodamdee.Photos.Frames.RomanticLovePhotoFrames	4	1	4	0	0	0	0	3	3	0	0	0	0	3	3	0	0	0	0	
com.radiomexico.radioestadodemexico	14	9	14	14	14	9	6	10	13	13	13	11	6	7	10	10	10	8	4	
it.ingamb.chivuolesseremario	14	1	14	14	12	1	1	1	13	13	13	1	1	1	11	11	11	1	1	
sagestudio4.saraswatipujaphotoframe	2	2	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	
com.es.invenio.carmen1391774564	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	
com.theprettyco	6	6	1	1	6	1	1	5	1	1	5	1	1	5	1	1	5	1	1	
com.mada.shivaracinggames	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	
com.imaginstudio.imagetools.pixellab	10	8	10	10	10	8	2	8	9	9	9	8	7	8	9	9	9	8	7	
com.appgeneration.mynewsfree	21	13	21	21	21	16	10	20	20	20	20	16	16	15	17	17	17	14	14	
com.tistory.peretanguy.kfc	4	4	2	2	4	4	2	3	3	3	3	3	3	3	3	3	3	3	3	
com.appsbar.IHCDallas316125	27	3	5	5	6	5	2	24	24	24	25	24	24	24	24	24	25	24	24	
com.immiim.ringtone.crazy	7	0	2	2	4	4	2	1	2	2	4	4	2	1	2	2	3	3	2	
com.parham.kesa	33	31	33	33	27	27	1	32	32	32	31	27	16	23	23	23	21	18	8	
com.epictunes.GirlsMaroo	8	8	8	8	8	8	8	7	7	7	7	7	7	7	7	7	7	7	7	
com.endava.enfilemanager	14	14	7	14	12	7	1	13	8	13	12	8	2	9	5	9	9	5	0	
com.app025924186	3	3	0	0	3	0	0	2	2	2	2	2	2	1	1	1	1	1	1	
com.colors.photo.crop	5	5	0	0	0	0	0	4	0	0	0	0	0	4	0	0	0	0	0	
fm.golive.festivalhoppophop999a9879	54	41	54	54	52	52	21	44	53	53	53	52	41	31	40	40	40	39	27	
com.webjoel.baladaboa	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
com.socialmediastorysaver.allstatusandstorysaver	25	16	25	25	25	12	12	24	24	24	24	12	12	14	22	22	22	11	11	
kr.backpackr.me.idus	104	104	104	104	98	96	25	103	103	103	103	103	61	96	96	96	96	96	52	
com.bh.superflashcard.ssat.android	4	4	2	2	2	4	2	3	3	3	3	3	3	2	1	1	1	2	1	
com.Pinodrom.DicktatorLauncher	15	15	15	15	14	15	12	14	14	14	14	14	14	11	11	11	11	11	11	
io.echurch.gracecovenantchurch	15	15	15	15	15	15	9	14	14	14	14	14	14	7	7	7	7	7	5	
com.monotype.android.font.fontpack.flipfont.glitter.edge	25	23	25	25	25	25	19	24	24	24	24	24	21	21	21	21	21	21	18	
com.quiz.gkquize	5	3	1	1	0	0	0	4	4	4	0	0	0	4	4	4	0	0	0	
rs.prva.android	22	16	22	22	22	22	14	21	21	21	21	21	19	20	20	20	20	20	16	
com.bighand.android	29	29	29	29	29	29	8	28	28	28	28	28	14	23	23	23	23	23	9	
com.dobrotoljublje	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	
com.aghani.etabmaghnia.songstorekk	36	14	36	36	13	13	2	35	35	35	13	13	13	32	32	32	10	10	8	
com.k3games.airportmanager	13	13	13	13	13	13	10	12	12	12	12	12	11	10	10	10	10	10	9	
com.edugorilla.purijrtypist	47	35	47	47	40	25	14	46	46	46	46	35	18	32	39	39	37	29	13	
com.paktechapps.Good.morning2018.photoframes.free	5	0	0	0	5	0	0	2	0	0	4	0	2	2	0	0	4	0	2	
com.senbac.qrcode	39	20	39	39	17	20	16	38	38	38	20	37	37	27	34	34	17	33	28	
com.gameon.project	7	7	7	7	7	7	3	6	6	6	6	6	6	4	4	4	4	4	4	
com.andromo.dev244573.app243661	6	6	6	6	6	6	0	5	5	5	5	5	4	5	5	5	5	5	4	
com.bergamosretreat.m	7	5	7	7	5	7	3	6	6	6	6	6	6	5	5	5	5	5	5	
com.drmaxmuscle.dr_max_muscle	5	5	5	5	4	5	4	4	4	4	4	4	4	4	4	4	4	4	4	
com.andromo.dev267574.app402894	101	101	101	101	101	101	101	100	100	100	100	100	100	100	100	100	100	100	100	
com.portablepixels.smokefree	20	13	20	20	16	20	6	19	19	19	19	19	19	15	15	15	15	15	14	
com.vyoma.samyukthaksharani	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	
com.hanovereveningsun.android.prod	40	6	40	40	34	33	1	39	39	39	37	36	7	7	36	36	35	34	5	
com.girishkolambe240.boysposes	2	2	2	2	2	2	2	1	1	1	1	1	1	0	0	0	0	0	0	
com.salimbk.mouhammedsalem2019	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
br.com.calculacaixa	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	
com.davisinstruments.weatherlink	9	9	5	5	9	9	3	8	8	8	8	8	8	7	7	7	7	7	4	
pattent_sharing_aos.smartteeam.gdt.com.livechat	5	3	5	5	1	5	0	3	4	4	3	4	1	3	3	3	2	3	1	
com.gamesjust.contract.commando.battle.game.free	17	15	13	17	17	17	15	16	16	16	16	16	16	15	15	15	15	15	15	
com.newandromo.dev6747.app739461	20	8	20	20	20	20	2	18	19	19	19	19	18	17	18	18	18	18	14	
com.SoftInc.Kelas_11_SMA_BInggris_smt1	8	6	6	4	8	6	4	6	7	6	7	6	5	6	7	6	7	6	5	
fr.ives.djanah	37	32	21	37	30	34	1	35	34	36	34	35	31	34	34	35	33	34	31	
com.infolink.limeiptv	18	15	18	18	18	18	10	17	17	17	17	17	11	12	12	12	12	12	6	
com.sparklingsocietytycoon.paradisecityislandsim	11	11	11	11	11	11	11	10	10	10	10	10	10	7	7	7	7	7	7	
digital.tamil.moviesongs.best.collection	17	15	17	17	12	12	2	16	16	16	13	13	13	13	13	13	10	10	8	
jack.martin.mykeyboard.myphotokeyboard.kitty	5	5	3	3	5	3	5	4	3	3	4	3	4	4	3	3	4	3	4	
io.getbound.prod	51	37	51	51	51	51	21	50	50	50	50	50	43	40	41	41	41	41	34	
mmappszone.sabinayasminsuperhitsongs	14	2	12	14	14	0	0	13	12	13	13	0	0	13	12	13	13	0	0	
com.indianhitsongs.telugu2016hitsongs	8	8	4	4	4	6	1	7	7	7	6	6	5	5	4	4	4	5	4	
com.livelink.isf	10	10	9	9	10	10	7	9	9	9	9	9	9	9	9	9	9	9	9	
it.stany.gravitysprint	10	4	10	10	10	10	2	5	9	9	9	9	5	4	8	8	8	8	3	
com.liteforapp.swipe	3	1	3	3	0	0	0	1	2	2	0	0	0	1	2	2	0	0	0	
com.americanexpress.android.acctsvcs.fr	182	182	182	182	182	182	156	181	181	181	181	181	181	179	179	179	179	179	175	
com.dev.chehiwat.maghribia.bledna	4	4	2	2	2	1	1	3	3	3	2	1	1	2	2	2	1	0	0	
com.mobimarko.WorldsBest100FunniestPhotos	2	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	
com.crowdcomms.nikeportal	15	15	15	15	15	15	4	14	14	14	14	14	14	10	10	10	10	10	8	
com.dynamicmarkets.us.freebierocket	36	12	36	36	27	33	5	30	35	35	34	33	27	19	30	30	29	28	16	
com.funwithphotography.namephotooncake	12	7	3	3	3	6	1	8	11	11	6	6	3	5	7	7	3	3	1	
com.app.seleniuminterviewquestions	8	6	8	8	8	6	4	6	7	7	7	6	6	6	7	7	7	6	6	
com.appbecho.kixra	19	12	19	19	16	13	3	12	18	18	18	14	4	9	15	15	15	11	2	
com.creativesimulatorsstudio.mummycity	32	24	32	32	32	32	21	31	31	31	31	31	31	25	25	25	25	25	23	
imox.condo.admin.app	42	33	42	42	42	42	8	41	41	41	41	41	20	40	40	40	40	40	19	
com.greensparker.myfrenchalphabets	14	0	0	14	0	0	0	0	12	13	12	0	0	0	12	13	12	0	0	
com.companyname.Draw_Cut	13	11	7	7	11	11	6	11	10	10	11	11	11	10	9	9	10	10	9	
com.bravolang.spanish	15	12	15	15	10	4	3	14	14	14	12	7	7	14	14	14	12	7	7	
tk.todaynewsupdate.Senegaltodaynewsupdate	8	8	8	8	8	8	8	7	7	7	7	7	7	7	7	7	7	7	7	
it.gp.radiolidi	8	6	5	5	6	6	4	6	5	5	6	6	5	3	2	2	3	3	2	
org.smart_guide.smartguide.T_00007	29	27	29	26	27	29	19	28	28	28	28	28	28	24	24	24	24	24	24	
jp.digitallab.diamond	13	13	2	13	13	6	1	12	11	12	12	12	7	9	7	9	9	8	4	
com.gmail.shellingsoft.holmesquiz	4	0	4	4	4	0	0	1	3	3	3	0	0	1	3	3	3	0	0	
io.appsly.stepper	6	3	6	6	6	6	0	3	5	5	5	5	0	2	4	4	4	4	0	
com.onenetme.dealer	4	4	4	4	2	4	2	3	3	3	3	3	3	1	1	1	1	1	1	
com.english_azerbaijan_translator.translator_app	6	6	6	6	6	6	6	5	5	5	5	5	5	4	4	4	4	4	4	
com.OON.EastCoastPOSDemo	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	
com.wingsphotoeditor.angelwings.snapchatfilters.addwingstophotoenter	18	12	16	16	18	18	12	14	17	17	17	17	16	12	15	15	15	15	14	
com.jb.gokeyboard.theme.keyboardthemefallingstars.getjar	13	13	5	13	10	13	5	12	5	12	12	12	9	3	3	3	3	3	2	
com.iamyub.AndTTTip	5	1	1	1	0	0	0	4	4	4	0	0	0	4	4	4	0	0	0	
com.frank.ninjabird	4	0	0	0	0	0	0	3	0	0	3	0	0	3	0	0	3	0	0	
app.com.efficiency	14	5	14	14	10	4	1	13	13	13	10	6	4	11	11	11	8	4	2	
com.myprog.netutils	7	3	3	3	4	3	3	3	3	3	4	3	3	3	3	3	4	3	3	
com.UtilityCrafting.utility.minecraft.maps	3	3	1	3	3	3	0	2	2	2	2	2	1	2	2	2	2	2	1	
de.paulstelzer.iqtest	12	12	8	12	10	12	6	11	11	11	11	11	11	8	8	8	8	8	8	
com.akgun.uknews	14	10	7	14	12	9	2	10	10	13	13	12	12	7	7	7	7	6	3	
com.zamrud.radio.mobile.app.actarifm	13	11	13	13	13	13	5	11	12	12	12	12	7	6	7	7	7	7	3	
nl.sitedish.sakura	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	
com.neptune.domino	5	5	3	5	3	5	2	4	4	4	4	4	3	1	1	1	1	1	1	
com.chubisapp.ChilltraxRadio	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	
de.dbregio.wohinduwillst	25	4	25	23	25	25	3	4	24	24	24	24	8	3	22	22	22	22	7	
