		C2C						A2A						CF2CF						
	Component	Gator	IC3	IC3-Dial	A3E	Story	ICCBot	Gator	IC3	IC3-Dial	A3E	Story	ICCBot	Gator	IC3	IC3-Dial	A3E	Story	ICCBot	
com.lockscreen.lockertheme.zipper.king.lion	19	4	17	18	6	3	21	4	10	11	3	2	11	4	17	18	6	4	23	
sandhills.truckpaper.app	23	1	0	6	0	0	11	1	0	0	0	0	10	1	0	6	0	0	62	
appgamswmcom.wpapp	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
muslim.datingandchat	82	0	0	0	35	35	148	0	0	0	33	35	144	0	0	0	35	37	157	
com.shop66.woocommerce	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
com.rta.rtadubai	11	0	2	2	0	0	1	0	0	0	0	0	0	0	2	2	0	0	1	
co.lynde.svfmk	215	0	0	0	20	0	444	0	0	0	18	0	428	0	0	0	20	0	486	
com.kuyhaa.android.auto.call.recorder.acr.lite.autocallrecorder.voicecallrecorder.tools	12	3	5	5	0	2	14	3	2	2	0	2	2	3	5	5	0	2	16	
com.cellit.cellitnews.wsyx	12	4	1	0	1	3	5	4	1	0	1	3	5	4	1	0	1	6	11	
com.tekisapp.recetasdecomidavenezolanas	3	1	0	2	0	2	2	1	0	2	0	2	2	1	0	2	0	2	2	
com.klimbo.wordsearchadventure	41	38	0	0	4	2	24	38	0	0	4	2	15	38	0	0	4	2	27	
com.eidtime.abiauto	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
com.qrcode.reader.powerqrtools.barcodeqrcodereaderscanner	9	4	0	0	2	4	9	4	0	0	2	4	6	4	0	0	2	4	14	
org.familyspotlight.app	14	8	0	0	0	0	18	8	0	0	0	0	18	8	0	0	0	0	24	
com.nextmedia	88	11	1	1	2	0	74	11	1	1	2	0	57	11	1	1	2	1	338	
com.TimeAndMoney	5	5	2	5	0	5	5	5	2	5	0	5	5	5	2	5	0	5	5	
com.hollmanmedia.android.TestScanner	2	0	0	0	1	1	1	0	0	0	1	1	1	0	0	0	1	1	1	
com.gamy.Kids.Water.Surfing.Chained.bike.race	7	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	
com.andromo.dev518100.app497069	24	36	0	0	0	0	18	36	0	0	0	0	18	36	0	0	0	1	18	
com.ljmobile.move.app	17	2	0	0	4	7	5	2	0	0	4	7	5	2	0	0	4	11	10	
com.goozy	24	71	52	0	5	5	338	71	52	0	5	5	338	71	52	0	5	29	323	
com.AkinYaman.ReadySteadyFight	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
com.zoho.desk.radar	13	0	0	0	1	0	13	0	0	0	0	0	12	0	0	0	1	0	56	
com.curromartinez.personalloan	22	8	15	15	12	9	16	8	12	12	12	9	16	8	15	15	12	10	16	
com.asp.games.real.truck.cago.parking	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
com.soulmadeapps.beritaindonesiarss	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
com.radiodetulancingohidalgo.radiosdemexico	18	5	0	0	2	4	23	5	0	0	0	3	9	5	0	0	2	6	28	
com.app2sales.febracis	10	1	0	0	2	0	5	1	0	0	2	0	2	1	0	0	2	0	10	
com.mywebgrocer.saveonfoodsshopping	50	799	0	0	6	6	439	799	0	0	2	6	429	799	0	0	6	8	645	
com.ibubblegame.jewelscareer	2	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	4	1	
com.Voodamdee.Photos.Frames.RomanticLovePhotoFrames	4	2	0	4	3	4	3	2	0	4	3	4	3	2	0	4	3	4	3	
com.radiomexico.radioestadodemexico	14	12	0	0	0	4	15	12	0	0	0	4	7	12	0	0	0	5	23	
it.ingamb.chivuolesseremario	14	14	0	0	1	14	14	14	0	0	0	14	14	14	0	0	1	14	14	
sagestudio4.saraswatipujaphotoframe	2	0	1	1	1	1	1	0	1	1	1	1	1	0	1	1	1	1	1	
com.es.invenio.carmen1391774564	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
com.theprettyco	6	0	25	25	0	25	25	0	25	25	0	25	25	0	25	25	0	26	25	
com.mada.shivaracinggames	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
