packageName,count
"ch.hgdev.toposuite",336
"com.csipsimple",8
"com.etesync.syncadapter",7
"com.farmerbb.taskbar",6
"com.forrestguice.suntimeswidget",1
"com.ichi2.anki",45
"com.integreight.onesheeld",3
"com.mikifus.padland",2
"com.nutomic.syncthingandroid",2
"com.oriondev.moneywallet",24
"de.danoeh.antennapod",5
"de.tobiasbielefeld.solitaire",3
"dev.ukanth.ufirewall",6
"es.usc.citius.servando.calendula",7
"eu.siacs.conversations",8
"eu.vranckaert.worktime",1
"felixwiemuth.lincal",1
"fr.ybo.transportsrennes",7
"me.blog.korn123.easydiary",4
"net.mabako.steamgifts",4
"net.osmand.plus",3
"nl.sogeti.android.gpstracker",3
"org.inaturalist.android",40
"org.liberty.android.fantastischmemo",14
"org.ligi.passandroid",5
"org.smssecure.smssecure",11
"org.sufficientlysecure.keychain",19
"org.tasks",11
"pt.joaomneto.titancompanion",2
