packageName,count
"bm_DroidBench",2
"bm_ICCBotBench",9
"ch.hgdev.toposuite",441
"com.csipsimple",2
"com.etesync.syncadapter",7
"com.farmerbb.taskbar",2
"com.forrestguice.suntimeswidget",4
"com.fsck.k9",2
"com.ichi2.anki",47
"com.nutomic.syncthingandroid",2
"de.danoeh.antennapod",11
"es.usc.citius.servando.calendula",12
"eu.siacs.conversations",10
"eu.vranckaert.worktime",20
"fr.ybo.transportsrennes",1
"me.blog.korn123.easydiary",20
"net.osmand.plus",15
"org.inaturalist.android",27
"org.ligi.passandroid",8
"org.smssecure.smssecure",11
"org.sufficientlysecure.keychain",12
"org.tasks",4
