packageName,count
"ch.hgdev.toposuite",441
"com.csipsimple",3
"com.etesync.syncadapter",1
"com.forrestguice.suntimeswidget",2
"com.ichi2.anki",5
"com.nutomic.syncthingandroid",2
"com.oriondev.moneywallet",1
"dev.ukanth.ufirewall",2
"es.usc.citius.servando.calendula",7
"eu.siacs.conversations",1
"felixwiemuth.lincal",2
"fr.ybo.transportsrennes",1
"me.blog.korn123.easydiary",9
"net.mabako.steamgifts",2
"net.osmand.plus",7
"org.inaturalist.android",20
"org.liberty.android.fantastischmemo",18
"org.ligi.passandroid",1
"org.smssecure.smssecure",8
"org.sufficientlysecure.keychain",3
"pt.joaomneto.titancompanion",3
