	Total	separated						mainNot						exportNot						
		Gator	IC3	IC3-Dial	A3E	Story	ICCBot	Gator	IC3	IC3-Dial	A3E	Story	ICCBot	Gator	IC3	IC3-Dial	A3E	Story	ICCBot	
1Sheeld	13	11	10	10	9	10	9	12	11	11	10	11	10	5	4	4	3	4	3	
AFWall+	26	17	2	26	20	16	3	18	10	25	25	18	10	8	6	15	13	8	1	
AnkiDroid	26	8	5	26	12	20	3	25	12	25	16	24	8	9	9	20	13	19	-1	
AntennaPod	32	24	32	32	19	20	7	31	31	31	31	28	19	15	17	17	15	13	6	
Calendula	40	17	6	40	27	22	5	38	23	39	39	34	24	33	18	35	34	28	19	
ch.hgdev.toposuite	37	0	15	15	29	13	3	1	36	36	36	36	36	1	34	34	34	34	34	
com.farmerbb.taskbar	39	30	14	14	14	22	6	37	35	35	24	34	10	19	9	9	8	17	0	
com.oriondev.moneywallet	40	8	2	40	35	24	0	35	23	39	37	31	18	34	22	38	36	30	17	
Conversations	41	14	41	41	41	19	3	40	40	40	40	39	8	17	30	30	30	22	3	
CSipSimple	32	22	18	32	23	21	6	31	24	31	29	27	12	12	14	17	13	11	5	
EteSync	32	25	32	32	27	25	9	30	31	31	30	28	24	21	21	21	21	19	10	
eu.vranckaert.worktime	57	27	12	57	22	19	12	28	37	56	56	56	23	20	26	48	43	44	14	
fr.ybo.transportsrennes	37	11	10	37	13	12	1	11	28	36	32	28	21	2	8	16	12	9	2	
iNaturalist	50	7	50	50	45	46	0	26	49	49	47	46	10	26	48	48	46	45	10	
K9Mail	43	24	11	43	19	22	3	34	23	42	42	42	15	23	14	31	28	29	5	
Lincal	8	4	0	0	3	4	0	5	5	5	5	4	3	4	4	4	3	3	2	
me.blog.korn123.easydiary	26	5	26	26	26	21	1	8	25	25	25	25	8	6	23	23	23	21	5	
net.osmand.plus	46	25	46	46	44	46	6	30	45	45	45	45	22	25	39	39	38	39	18	
OpenGPSTracker	17	17	2	17	6	5	1	16	10	16	12	8	2	12	8	12	9	6	1	
OpenKeychain	65	26	65	65	44	44	8	44	64	64	59	59	32	31	45	45	35	34	12	
org.epstudios.epmobile	61	0	0	0	2	0	0	0	0	0	3	0	0	0	0	0	3	0	0	
org.liberty.android.fantastischmemo	38	10	4	38	5	10	3	37	36	37	35	37	24	26	15	34	23	26	21	
org.smssecure.smssecure	45	18	45	45	29	21	9	32	44	44	44	33	17	20	32	32	26	20	6	
org.tasks	65	53	43	65	53	61	25	59	61	64	62	62	48	44	45	48	46	46	26	
Padland	10	0	7	7	8	3	0	8	9	9	9	4	3	3	7	7	7	4	3	
PassAndroid	15	5	2	2	5	2	1	8	5	5	13	6	7	3	1	1	6	2	2	
pt.joaomneto.titancompanion	92	87	87	92	88	85	85	87	90	91	91	85	88	87	90	91	91	85	88	
Simple-Solitaire	7	3	3	3	4	0	0	3	5	5	5	1	1	3	5	5	5	1	1	
SteamGifts	14	5	7	7	5	5	1	6	8	8	13	7	4	4	6	6	9	5	2	
SuntimesWidget	34	16	2	34	22	28	1	29	3	33	33	28	13	2	1	6	2	2	1	
syncthing	15	7	15	15	4	6	0	13	14	14	11	9	9	8	10	10	7	5	5	
