		C2C						A2A						CF2CF						
	Component	Gator	IC3	IC3-Dial	A3E	Story	ICCBot	Gator	IC3	IC3-Dial	A3E	Story	ICCBot	Gator	IC3	IC3-Dial	A3E	Story	ICCBot	
org.tasks	65	17	28	0	13	3	143	17	21	0	12	3	31	17	28	0	13	6	160	
ch.hgdev.toposuite	37	936	11	11	4	12	37	936	11	11	4	12	37	936	11	11	4	13	37	
net.osmand.plus	46	195	0	0	2	0	242	195	0	0	0	0	178	195	0	0	2	2	2046	
syncthing	15	6	0	0	11	10	31	6	0	0	7	9	16	6	0	0	11	15	36	
com.oriondev.moneywallet	40	224	56	0	3	13	83	224	46	0	1	13	65	224	56	0	3	83	183	
PassAndroid	15	35	33	33	9	30	18	35	27	27	7	29	15	35	33	33	9	30	20	
CSipSimple	32	7	16	0	6	10	50	7	5	0	4	8	22	7	16	0	6	22	78	
1Sheeld	13	0	2	2	4	2	5	0	2	2	2	2	3	0	2	2	4	4	20	
Lincal	8	5	5	5	5	3	16	5	2	2	3	3	9	5	5	5	5	6	18	
EteSync	32	7	0	0	4	6	54	7	0	0	4	6	24	7	0	0	4	12	77	
com.farmerbb.taskbar	39	8	71	71	53	24	108	8	41	41	12	18	52	8	71	71	53	34	143	
Conversations	41	351	0	0	0	37	258	351	0	0	0	37	217	351	0	0	0	48	272	
AntennaPod	32	12	0	0	13	14	49	12	0	0	9	14	33	12	0	0	13	37	102	
eu.vranckaert.worktime	57	44	58	0	36	44	67	44	47	0	33	40	55	44	58	0	36	55	68	
me.blog.korn123.easydiary	26	330	0	0	0	4	85	330	0	0	0	2	73	330	0	0	0	10	97	
iNaturalist	50	331	0	0	4	3	230	331	0	0	4	2	196	331	0	0	4	4	264	
K9Mail	43	33	61	0	24	20	125	33	49	0	16	20	81	33	61	0	24	27	130	
org.smssecure.smssecure	45	301	0	0	16	25	151	301	0	0	10	24	76	301	0	0	16	50	164	
pt.joaomneto.titancompanion	92	4	4	0	3	6	5	4	4	0	3	6	5	4	4	0	3	6	6	
SuntimesWidget	34	20	383	0	9	7	238	20	37	0	4	7	21	20	383	0	9	7	284	
Simple-Solitaire	7	3	3	3	2	9	8	3	3	3	2	9	8	3	3	3	2	13	8	
OpenKeychain	65	617	0	0	24	25	148	617	0	0	22	25	112	617	0	0	24	73	256	
org.epstudios.epmobile	61	179	133	133	84	133	252	179	133	133	84	133	252	179	133	133	84	146	248	
OpenGPSTracker	17	0	41	0	13	30	38	0	30	0	6	26	19	0	41	0	13	31	38	
fr.ybo.transportsrennes	37	244	115	0	20	111	67	244	106	0	16	107	48	244	115	0	20	124	75	
org.liberty.android.fantastischmemo	38	33	59	0	32	34	51	33	52	0	24	34	35	33	59	0	32	69	126	
AFWall+	26	13	122	0	5	10	58	13	9	0	2	10	21	13	122	0	5	16	73	
Padland	10	18	3	3	1	12	22	18	3	3	1	12	22	18	3	3	1	13	22	
SteamGifts	14	57	15	15	11	18	32	57	15	15	6	18	29	57	15	15	11	39	80	
Calendula	40	55	92	0	7	19	70	55	76	0	6	19	41	55	92	0	7	34	70	
AnkiDroid	26	85	175	0	14	3	57	85	172	0	11	3	48	85	175	0	14	12	67	
