app	tool	common	only	last
org.tasks	Gator&IC3@TP	Gator	0.08	0.12	0.80
org.tasks	Gator&IC3@TP	IC3	0.08	0.12	0.80
org.tasks	Gator&IC3@All	Gator	0.18	0.26	0.55
org.tasks	Gator&IC3@All	IC3	0.18	0.55	0.26
org.tasks	Gator&IC3dial@TP	Gator	0.00	0.20	0.80
org.tasks	Gator&IC3dial@TP	IC3dial	0.00	0.00	1.00
org.tasks	Gator&IC3dial@All	Gator	0.00	1.00	0.00
org.tasks	Gator&IC3dial@All	IC3dial	0.00	0.00	1.00
org.tasks	Gator&A3E@TP	Gator	0.07	0.14	0.80
org.tasks	Gator&A3E@TP	A3E	0.07	0.12	0.81
org.tasks	Gator&A3E@All	Gator	0.15	0.50	0.35
org.tasks	Gator&A3E@All	A3E	0.15	0.35	0.50
org.tasks	Gator&Story@TP	Gator	0.02	0.19	0.80
org.tasks	Gator&Story@TP	Story	0.02	0.03	0.95
org.tasks	Gator&Story@All	Gator	0.05	0.84	0.11
org.tasks	Gator&Story@All	Story	0.05	0.11	0.84
org.tasks	Gator&ICCBot@TP	Gator	0.08	0.12	0.80
org.tasks	Gator&ICCBot@TP	ICCBot	0.08	0.46	0.46
org.tasks	Gator&ICCBot@All	Gator	0.05	0.07	0.89
org.tasks	Gator&ICCBot@All	ICCBot	0.05	0.89	0.07
org.tasks	IC3&IC3dial@TP	IC3	0.00	0.20	0.80
org.tasks	IC3&IC3dial@TP	IC3dial	0.00	0.00	1.00
org.tasks	IC3&IC3dial@All	IC3	0.00	1.00	0.00
org.tasks	IC3&IC3dial@All	IC3dial	0.00	0.00	1.00
org.tasks	IC3&A3E@TP	IC3	0.17	0.03	0.80
org.tasks	IC3&A3E@TP	A3E	0.17	0.02	0.81
org.tasks	IC3&A3E@All	IC3	0.37	0.57	0.07
org.tasks	IC3&A3E@All	A3E	0.37	0.07	0.57
org.tasks	IC3&Story@TP	IC3	0.05	0.15	0.80
org.tasks	IC3&Story@TP	Story	0.05	0.00	0.95
org.tasks	IC3&Story@All	IC3	0.11	0.89	0.00
org.tasks	IC3&Story@All	Story	0.11	0.00	0.89
org.tasks	IC3&ICCBot@TP	IC3	0.20	0.00	0.80
org.tasks	IC3&ICCBot@TP	ICCBot	0.20	0.34	0.46
org.tasks	IC3&ICCBot@All	IC3	0.13	0.05	0.81
org.tasks	IC3&ICCBot@All	ICCBot	0.13	0.81	0.05
org.tasks	IC3dial&A3E@TP	IC3dial	0.00	0.00	1.00
org.tasks	IC3dial&A3E@TP	A3E	0.00	0.19	0.81
org.tasks	IC3dial&A3E@All	IC3dial	0.00	0.00	1.00
org.tasks	IC3dial&A3E@All	A3E	0.00	1.00	0.00
org.tasks	IC3dial&Story@TP	IC3dial	0.00	0.00	1.00
org.tasks	IC3dial&Story@TP	Story	0.00	0.05	0.95
org.tasks	IC3dial&Story@All	IC3dial	0.00	0.00	1.00
org.tasks	IC3dial&Story@All	Story	0.00	1.00	0.00
org.tasks	IC3dial&ICCBot@TP	IC3dial	0.00	0.00	1.00
org.tasks	IC3dial&ICCBot@TP	ICCBot	0.00	0.54	0.46
org.tasks	IC3dial&ICCBot@All	IC3dial	0.00	0.00	1.00
org.tasks	IC3dial&ICCBot@All	ICCBot	0.00	1.00	0.00
org.tasks	A3E&Story@TP	A3E	0.05	0.14	0.81
org.tasks	A3E&Story@TP	Story	0.05	0.00	0.95
org.tasks	A3E&Story@All	A3E	0.23	0.77	0.00
org.tasks	A3E&Story@All	Story	0.23	0.00	0.77
org.tasks	A3E&ICCBot@TP	A3E	0.19	0.00	0.81
org.tasks	A3E&ICCBot@TP	ICCBot	0.19	0.36	0.46
org.tasks	A3E&ICCBot@All	A3E	0.08	0.01	0.91
org.tasks	A3E&ICCBot@All	ICCBot	0.08	0.91	0.01
org.tasks	Story&ICCBot@TP	Story	0.05	0.00	0.95
org.tasks	Story&ICCBot@TP	ICCBot	0.05	0.49	0.46
org.tasks	Story&ICCBot@All	Story	0.02	0.00	0.98
org.tasks	Story&ICCBot@All	ICCBot	0.02	0.98	0.00
ch.hgdev.toposuite	Gator&IC3@TP	Gator	0.00	1.00	0.00
ch.hgdev.toposuite	Gator&IC3@TP	IC3	0.00	0.00	1.00
ch.hgdev.toposuite	Gator&IC3@All	Gator	0.01	0.99	0.00
ch.hgdev.toposuite	Gator&IC3@All	IC3	0.01	0.00	0.99
ch.hgdev.toposuite	Gator&IC3dial@TP	Gator	0.00	1.00	0.00
ch.hgdev.toposuite	Gator&IC3dial@TP	IC3dial	0.00	0.00	1.00
ch.hgdev.toposuite	Gator&IC3dial@All	Gator	0.01	0.99	0.00
ch.hgdev.toposuite	Gator&IC3dial@All	IC3dial	0.01	0.00	0.99
ch.hgdev.toposuite	Gator&A3E@TP	Gator	0.00	1.00	0.00
ch.hgdev.toposuite	Gator&A3E@TP	A3E	0.00	0.00	1.00
ch.hgdev.toposuite	Gator&A3E@All	Gator	0.00	1.00	0.00
ch.hgdev.toposuite	Gator&A3E@All	A3E	0.00	0.00	1.00
ch.hgdev.toposuite	Gator&Story@TP	Gator	0.00	1.00	0.00
ch.hgdev.toposuite	Gator&Story@TP	Story	0.00	0.00	1.00
ch.hgdev.toposuite	Gator&Story@All	Gator	0.01	0.99	0.00
ch.hgdev.toposuite	Gator&Story@All	Story	0.01	0.00	0.99
ch.hgdev.toposuite	Gator&ICCBot@TP	Gator	0.04	0.96	0.00
ch.hgdev.toposuite	Gator&ICCBot@TP	ICCBot	0.04	0.00	0.96
ch.hgdev.toposuite	Gator&ICCBot@All	Gator	0.04	0.96	0.00
ch.hgdev.toposuite	Gator&ICCBot@All	ICCBot	0.04	0.00	0.96
ch.hgdev.toposuite	IC3&IC3dial@TP	IC3	0.00	0.00	1.00
ch.hgdev.toposuite	IC3&IC3dial@TP	IC3dial	0.00	0.00	1.00
ch.hgdev.toposuite	IC3&IC3dial@All	IC3	1.00	0.00	0.00
ch.hgdev.toposuite	IC3&IC3dial@All	IC3dial	1.00	0.00	0.00
ch.hgdev.toposuite	IC3&A3E@TP	IC3	0.00	0.00	1.00
ch.hgdev.toposuite	IC3&A3E@TP	A3E	0.00	0.00	1.00
ch.hgdev.toposuite	IC3&A3E@All	IC3	0.36	0.64	0.00
ch.hgdev.toposuite	IC3&A3E@All	A3E	0.36	0.00	0.64
ch.hgdev.toposuite	IC3&Story@TP	IC3	0.00	0.00	1.00
ch.hgdev.toposuite	IC3&Story@TP	Story	0.00	0.00	1.00
ch.hgdev.toposuite	IC3&Story@All	IC3	0.92	0.00	0.08
ch.hgdev.toposuite	IC3&Story@All	Story	0.92	0.08	0.00
ch.hgdev.toposuite	IC3&ICCBot@TP	IC3	0.00	0.00	1.00
ch.hgdev.toposuite	IC3&ICCBot@TP	ICCBot	0.00	0.04	0.96
ch.hgdev.toposuite	IC3&ICCBot@All	IC3	0.30	0.00	0.70
ch.hgdev.toposuite	IC3&ICCBot@All	ICCBot	0.30	0.70	0.00
ch.hgdev.toposuite	IC3dial&A3E@TP	IC3dial	0.00	0.00	1.00
ch.hgdev.toposuite	IC3dial&A3E@TP	A3E	0.00	0.00	1.00
ch.hgdev.toposuite	IC3dial&A3E@All	IC3dial	0.36	0.64	0.00
ch.hgdev.toposuite	IC3dial&A3E@All	A3E	0.36	0.00	0.64
ch.hgdev.toposuite	IC3dial&Story@TP	IC3dial	0.00	0.00	1.00
ch.hgdev.toposuite	IC3dial&Story@TP	Story	0.00	0.00	1.00
ch.hgdev.toposuite	IC3dial&Story@All	IC3dial	0.92	0.00	0.08
ch.hgdev.toposuite	IC3dial&Story@All	Story	0.92	0.08	0.00
ch.hgdev.toposuite	IC3dial&ICCBot@TP	IC3dial	0.00	0.00	1.00
ch.hgdev.toposuite	IC3dial&ICCBot@TP	ICCBot	0.00	0.04	0.96
ch.hgdev.toposuite	IC3dial&ICCBot@All	IC3dial	0.30	0.00	0.70
ch.hgdev.toposuite	IC3dial&ICCBot@All	ICCBot	0.30	0.70	0.00
ch.hgdev.toposuite	A3E&Story@TP	A3E	0.00	0.00	1.00
ch.hgdev.toposuite	A3E&Story@TP	Story	0.00	0.00	1.00
ch.hgdev.toposuite	A3E&Story@All	A3E	0.33	0.00	0.67
ch.hgdev.toposuite	A3E&Story@All	Story	0.33	0.67	0.00
ch.hgdev.toposuite	A3E&ICCBot@TP	A3E	0.00	0.00	1.00
ch.hgdev.toposuite	A3E&ICCBot@TP	ICCBot	0.00	0.04	0.96
ch.hgdev.toposuite	A3E&ICCBot@All	A3E	0.11	0.00	0.89
ch.hgdev.toposuite	A3E&ICCBot@All	ICCBot	0.11	0.89	0.00
ch.hgdev.toposuite	Story&ICCBot@TP	Story	0.00	0.00	1.00
ch.hgdev.toposuite	Story&ICCBot@TP	ICCBot	0.00	0.04	0.96
ch.hgdev.toposuite	Story&ICCBot@All	Story	0.32	0.00	0.68
ch.hgdev.toposuite	Story&ICCBot@All	ICCBot	0.32	0.68	0.00
net.osmand.plus	Gator&IC3@TP	Gator	0.00	0.31	0.69
net.osmand.plus	Gator&IC3@TP	IC3	0.00	0.00	1.00
net.osmand.plus	Gator&IC3@All	Gator	0.00	1.00	0.00
net.osmand.plus	Gator&IC3@All	IC3	0.00	0.00	1.00
net.osmand.plus	Gator&IC3dial@TP	Gator	0.00	0.31	0.69
net.osmand.plus	Gator&IC3dial@TP	IC3dial	0.00	0.00	1.00
net.osmand.plus	Gator&IC3dial@All	Gator	0.00	1.00	0.00
net.osmand.plus	Gator&IC3dial@All	IC3dial	0.00	0.00	1.00
net.osmand.plus	Gator&A3E@TP	Gator	0.00	0.31	0.69
net.osmand.plus	Gator&A3E@TP	A3E	0.00	0.00	1.00
net.osmand.plus	Gator&A3E@All	Gator	0.00	0.99	0.01
net.osmand.plus	Gator&A3E@All	A3E	0.00	0.01	0.99
net.osmand.plus	Gator&Story@TP	Gator	0.00	0.31	0.69
net.osmand.plus	Gator&Story@TP	Story	0.00	0.00	1.00
net.osmand.plus	Gator&Story@All	Gator	0.00	1.00	0.00
net.osmand.plus	Gator&Story@All	Story	0.00	0.00	1.00
net.osmand.plus	Gator&ICCBot@TP	Gator	0.28	0.03	0.69
net.osmand.plus	Gator&ICCBot@TP	ICCBot	0.28	0.44	0.28
net.osmand.plus	Gator&ICCBot@All	Gator	0.13	0.38	0.50
net.osmand.plus	Gator&ICCBot@All	ICCBot	0.13	0.50	0.38
