		callBack	staticCB	dynamicCB	implicitCB	atypicalICC	implicitICC	stringOp	staticVal	callContext	async	polym	nonAct	dynamicBC	fragment	adapter	widget	otherClass	isLibraryInvocation	staticCBOnly	dynamicCBOnly	implicitCBonly	atypicalICCOnly	implicitICCOnly	stringOpOnly	staticValOnly	callContextOnly	asyncOnly	polymOnly	nonActonly	dynamicBCOnly	fragmentOnly	adapterOnly	widgetOnly	otherClassOnly	libraryonly
1Sheeld	oracle       	3	3	3	0	1	0	0	0	3	0	0	3	0	3	0	0	3	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
1Sheeld	ICCBot      	3	3	3	0	0	0	0	0	3	0	0	2	0	3	0	0	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1Sheeld	IC3         	3	3	3	0	1	0	0	0	3	0	0	3	0	3	0	0	3	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
1Sheeld	IC3Dial     	3	3	3	0	1	0	0	0	3	0	0	3	0	3	0	0	3	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
1Sheeld	Gator         	3	3	3	0	1	0	0	0	3	0	0	3	0	3	0	0	3	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
1Sheeld	A3E         	3	3	3	0	0	0	0	0	3	0	0	2	0	3	0	0	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1Sheeld	Story         	3	3	3	0	1	0	0	0	3	0	0	3	0	3	0	0	3	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
AFWall+	oracle       	20	2	8	16	3	0	0	0	0	5	0	15	0	2	2	5	7	0	0	0	8	1	0	0	0	0	0	0	8	0	2	2	0	0	0
AFWall+	ICCBot      	1	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
AFWall+	IC3         	6	2	4	5	3	0	0	0	0	0	0	2	0	2	2	2	1	0	0	0	0	1	0	0	0	0	0	0	1	0	2	2	0	0	0
AFWall+	Gator         	11	1	8	7	3	0	0	0	0	5	0	15	0	1	2	5	7	0	0	0	0	1	0	0	0	0	0	0	8	0	1	2	0	0	0
AFWall+	A3E         	18	2	8	14	3	0	0	0	0	5	0	12	0	2	2	5	7	0	0	0	6	1	0	0	0	0	0	0	5	0	2	2	0	0	0
AFWall+	Story         	11	2	7	8	3	0	0	0	0	5	0	15	0	2	1	5	7	0	0	0	0	1	0	0	0	0	0	0	8	0	2	1	0	0	0
AnkiDroid	oracle       	54	0	33	48	1	0	0	0	47	31	50	8	0	6	5	9	6	7	0	2	1	0	0	0	0	0	0	1	0	2	2	0	0	0	0
AnkiDroid	ICCBot      	12	0	12	12	0	0	0	0	12	20	12	8	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AnkiDroid	IC3         	21	0	19	19	1	0	0	0	17	23	19	8	0	5	3	9	3	3	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0
AnkiDroid	IC3Dial     	54	0	33	48	1	0	0	0	47	31	50	8	0	6	5	9	6	7	0	2	1	0	0	0	0	0	0	1	0	2	2	0	0	0	0
AnkiDroid	Gator         	24	0	14	23	1	0	0	0	19	18	21	8	0	4	3	9	1	2	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0
AnkiDroid	A3E         	44	0	27	39	0	0	0	0	37	28	40	8	0	6	4	8	5	5	0	2	1	0	0	0	0	0	0	1	0	2	2	0	0	0	0
AnkiDroid	Story         	53	0	32	47	1	0	0	0	47	31	49	8	0	5	4	9	6	7	0	2	1	0	0	0	0	0	0	1	0	2	2	0	0	0	0
AntennaPod	oracle       	25	0	23	5	7	0	0	0	15	3	9	14	4	10	0	1	24	2	0	4	1	3	0	0	0	4	1	0	1	4	5	0	0	0	0
AntennaPod	ICCBot      	7	0	6	4	7	0	0	0	9	2	4	7	0	1	0	1	14	1	0	0	0	3	0	0	0	4	1	0	0	0	0	0	0	0	0
AntennaPod	IC3Dial     	25	0	23	5	7	0	0	0	15	3	9	14	4	10	0	1	24	2	0	4	1	3	0	0	0	4	1	0	1	4	5	0	0	0	0
AntennaPod	Gator         	20	0	18	5	7	0	0	0	15	3	6	11	1	10	0	1	21	2	0	2	1	3	0	0	0	4	1	0	1	2	5	0	0	0	0
AntennaPod	A3E         	20	0	19	4	7	0	0	0	15	3	9	14	4	10	0	1	24	2	0	0	0	3	0	0	0	4	1	0	1	0	5	0	0	0	0
AntennaPod	Story         	16	0	15	4	7	0	0	0	15	2	5	10	0	10	0	1	19	1	0	0	0	3	0	0	0	4	1	0	1	0	5	0	0	0	0
Calendula	oracle       	24	1	17	14	5	0	0	0	12	2	0	6	0	8	7	0	12	6	0	1	3	2	0	0	0	5	0	0	1	1	1	0	0	0	4
Calendula	ICCBot      	7	1	7	3	3	0	0	0	4	0	0	3	0	4	3	0	5	0	0	0	0	2	0	0	0	3	0	0	0	0	1	0	0	0	0
