tagPath,count
analyzeScope.componentScope.isActivity,150
analyzeScope.componentScope.isBroadCast,6
analyzeScope.componentScope.isDynamicBroadCast,5
analyzeScope.componentScope.isService,29
analyzeScope.intentFieldScope.isContext,49
analyzeScope.intentFieldScope.isNoExtra,86
analyzeScope.intentFieldScope.isStaticVal,1
analyzeScope.methodScope.isAsyncInvocation,25
analyzeScope.methodScope.isBasicInvocation,85
analyzeScope.methodScope.isLibraryInvocation,33
analyzeScope.methodScope.isListenerInvocation,56
analyzeScope.methodScope.isPolymorphic,33
analyzeScope.nonComponentScope.isAdapter,27
analyzeScope.nonComponentScope.isFragment,60
analyzeScope.nonComponentScope.isOtherClass,36
analyzeScope.nonComponentScope.isWidget,27
entryMethod.isDynamicCallBack,88
entryMethod.isImplicitCallback,55
entryMethod.isLifeCycle,146
entryMethod.isStaticCallBack,24
exitMethod.isAtypicalSendICC,38
exitMethod.isNormalSendICC,120
intentMatch.isExplicit,147
intentMatch.isImplicit,11
