	#Component	completeness			connectivity			completeness				connectivity				edge Num				oracle	#false negative 				false negative rate			
		dynamic	manual	whole	dynamic	manual	whole	ICCBot	IC3	IC3-dial	Gator	ICCBot	IC3	IC3-dial	Gator	ICCBot	IC3	IC3-dial	Gator	whole	ICCBot	IC3	IC3-dial	Gator	ICCBot	IC3	IC3-dial	Gator
sandhills.truckpaper.app	23	0.05	0.05	0.05	0.00	0.00	0.00	0.28	0.05	0.08	0.08	0.78	0.00	0.52	0.09	9	0	6	1	0	0	0	0	0	0.00	0.00	0.00	0.00
appgamswmcom.wpapp	3	0.33	0.33	0.33	0.00	0.00	0.00	0.33	0.33	0.33	0.33	0.00	0.00	0.00	0.00	0	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00
muslim.datingandchat	82	0.03	0.03	0.03	0.00	0.00	0.00	0.12	0.03	0.03	0.03	0.39	0.00	0.00	0.00	16	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00
co.lynde.svfmk	215	0.03	0.03	0.03	0.00	0.00	0.00	0.35	0.03	0.03	0.03	3.75	0.00	0.00	0.00	403	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00
com.cellit.cellitnews.wsyx	12	0.08	0.08	0.08	0.00	0.00	0.00	0.54	0.13	0.08	0.19	1.00	0.17	0.00	0.67	6	1	0	4	0	0	0	0	0	0.00	0.00	0.00	0.00
org.familyspotlight.app	14	0.05	0.05	0.05	0.00	0.00	0.00	0.89	0.05	0.05	0.20	2.57	0.00	0.00	1.14	18	0	0	8	0	0	0	0	0	0.00	0.00	0.00	0.00
com.andromo.dev518100.app497069	24	0.03	0.03	0.03	0.00	0.00	0.00	0.26	0.03	0.03	0.26	1.50	0.00	0.00	3.00	18	0	0	36	0	0	0	0	0	0.00	0.00	0.00	0.00
com.curromartinez.personalloan	22	0.07	0.07	0.07	0.00	0.00	0.00	0.30	0.31	0.31	0.23	1.00	1.36	1.36	0.73	11	15	15	8	0	0	0	0	0	0.00	0.00	0.00	0.00
com.asp.games.real.truck.cago.parking	7	0.14	0.14	0.14	0.00	0.00	0.00	0.14	0.14	0.14	0.14	0.00	0.00	0.00	0.00	0	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00
