app	package	size	#Component	Exported	Activity	star	used version	latest version	github	fdroid	
1Sheeld	com.integreight.onesheeld	10.58	13	13	8	67	1.9.0	1.9.0	https://github.com/Integreight/1Sheeld-Android-App		
AFWall+	dev.ukanth.ufirewall	11.64	26	11	15	1890	3.1.0	3.5.2.1	https://github.com/ukanth/afwall	https://f-droid.org/zh_Hans/packages/dev.ukanth.ufirewall/	
AnkiDroid	com.ichi2.anki	14.86	26	6	21	3775	2.8.4	2.14.6	https://github.com/ankidroid/Anki-Android	https://f-droid.org/packages/com.ichi2.anki/	
AntennaPod	de.danoeh.antennapod	10.78	32	15	21	3567	1.7.1	2.2.1	https://github.com/AntennaPod/AntennaPod	https://f-droid.org/packages/de.danoeh.antennapod/	
Calendula	es.usc.citius.servando.calendula	11.21	40	5	26	178	2.5.11	2.5.11	https://github.com/citiususc/calendula	https://f-droid.org/packages/es.usc.citius.servando.calendula/	
ch.hgdev.toposuite	ch.hgdev.toposuite	2.18	37	3	37	10	1.0.3	1.2.0	https://github.com/hgdev-ch/toposuite-android	https://f-droid.org/packages/ch.hgdev.toposuite/	
com.farmerbb.taskbar	com.farmerbb.taskbar	2.26	39	19	22	350	3.9.1	6.1.1	https://github.com/farmerbb/Taskbar	https://f-droid.org/zh_Hans/packages/com.farmerbb.taskbar/	
com.oriondev.moneywallet	com.oriondev.moneywallet	12.58	65	2	32	259	4.0.2	4.0.5.9	https://github.com/AndreAle94/moneywallet	https://f-droid.org/zh_Hans/packages/com.oriondev.moneywallet/	
Conversations	eu.siacs.conversations	31.94	40	14	35	3829	2.5.1	2.9.13	https://github.com/iNPUTmice/Conversations	https://f-droid.org/packages/eu.siacs.conversations/	
CSipSimple	com.csipsimple	6.09	41	15	23	289	1.02.03	1.02.03	https://github.com/r3gis3r/CSipSimple		
EteSync	com.etesync.syncadapter	11.5	32	11	18	193	1.4.6	2.2.4	https://github.com/etesync/android	https://f-droid.org/packages/com.etesync.syncadapter/	
eu.vranckaert.worktime	eu.vranckaert.worktime	2.03	32	9	49	/	1.1.13.4	1.1.15		https://f-droid.org/zh_Hans/packages/eu.vranckaert.worktime/	
fr.ybo.transportsrennes	fr.ybo.transportsrennes	5.93	37	21	30	55	3.8.4	4.1.3	https://f-droid.org/packages/fr.ybo.transportsrennes/	https://github.com/ybonnel/TransportsRennes	
iNaturalist	org.inaturalist.android	34.01	37	9	54	97	1.11.19	1.22.1	https://github.com/inaturalist/iNaturalistAndroid		
K9Mail	com.fsck.k9	6.98	50	12	29	5836	5.6	5.734	https://github.com/k9mail/k-9	https://f-droid.org/packages/com.fsck.k9/	
Lincal	felixwiemuth.lincal	3.27	43	3	5	7	1.31	1.3.1	https://github.com/felixwiemuth/LinCal	https://f-droid.org/zh_Hans/packages/felixwiemuth.lincal/	
me.blog.korn123.easydiary	me.blog.korn123.easydiary	20.25	8	6	22	234	1.4.153	 1.4.167	https://github.com/hanjoongcho/aaf-easydiary	https://f-droid.org/en/packages/me.blog.korn123.easydiary/	
net.osmand.plus	net.osmand.plus	92.98	26	9	41	2673	3.5.2	3.9.1	https://github.com/osmandapp/OsmAnd	https://f-droid.org/packages/net.osmand.plus/	
OpenGPSTracker	nl.sogeti.android.gpstracker	0.94	46	5	11	32	1.3.5	1.3.5	https://github.com/rcgroot/open-gpstracker	https://code.google.com/archive/p/open-gpstracker/downloads	
OpenKeychain	org.sufficientlysecure.keychain	9.61	17	26	55	1545	5.2	5.7.5	https://github.com/open-keychain/open-keychain	https://f-droid.org/packages/org.sufficientlysecure.keychain/	
org.epstudios.epmobile	org.epstudios.epmobile	2.63	65	1	61	19	2.3.2	2.25.4	https://f-droid.org/packages/org.epstudios.epmobile/	https://github.com/mannd/epmobile	
org.liberty.android.fantastischmemo	org.liberty.android.fantastischmemo	4.49	61	4	32	129	10.6.3	10.9.993	https://github.com/helloworld1/AnyMemo	https://f-droid.org/packages/org.liberty.android.fantastischmemo/	
org.smssecure.smssecure	org.smssecure.smssecure	13.19	38	13	32	1023	0.15.1	0.16.12	https://github.com/SilenceIM/Silence	https://f-droid.org/en/packages/org.smssecure.smssecure/	
org.tasks	org.tasks	25.21	45	17	44	1631	4.8.2	11.1	https://github.com/tasks/tasks	https://f-droid.org/packages/org.tasks/	
Padland	com.mikifus.padland	2.37	10	3	10	42	1.5	1.8	https://github.com/mikifus/padland	https://f-droid.org/packages/com.mikifus.padland/	
PassAndroid	org.ligi.passandroid	2.68	15	7	14	546	3.4.7	3.5.7	https://github.com/ligi/PassAndroid	https://f-droid.org/packages/org.ligi.passandroid/	
pt.joaomneto.titancompanion	pt.joaomneto.titancompanion	11.9	92	1	92	7	64	67	https://github.com/joaomneto/TitanCompanion	https://f-droid.org/de/packages/pt.joaomneto.titancompanion/	
Simple-Solitaire	de.tobiasbielefeld.solitaire	15.94	7	1	7	178	3.13	3.13	https://github.com/TobiasBielefeld/Simple-Solitaire	https://f-droid.org/packages/de.tobiasbielefeld.solitaire/	
SteamGifts	net.mabako.steamgifts	3.05	14	3	11	62	1.5.11	1.5.13	https://github.com/SteamGifts/SteamGifts	https://f-droid.org/zh_Hans/packages/net.mabako.steamgifts/	
SuntimesWidget	com.forrestguice.suntimeswidget	5.8	34	28	19	147	0.11.3	0.13.10	https://github.com/forrestguice/SuntimesWidget	https://f-droid.org/packages/com.forrestguice.suntimeswidget/	
syncthing	com.nutomic.syncthingandroid	41.84	15	5	13	1619	1.2.0	1.16.0	https://github.com/syncthing/syncthing-android	https://f-droid.org/packages/com.nutomic.syncthingandroid/	
