	#Component	completeness			connectivity			completeness				connectivity				edge Num				oracle	#false negative 				false negative rate			
		dynamic	manual	whole	dynamic	manual	whole	ICCBot	IC3	IC3-dial	Gator	ICCBot	IC3	IC3-dial	Gator	ICCBot	IC3	IC3-dial	Gator	whole	ICCBot	IC3	IC3-dial	Gator	ICCBot	IC3	IC3-dial	Gator
1Sheeld	13	0.44	0.33	0.56	0.46	0.46	0.92	0.38	0.31	0.29	0.23	0.77	0.31	0.15	0.15	5	2	1	1	6	3	4	5	5	0.50	0.67	0.83	0.83
AFWall+	26	0.47	0.37	0.75	0.85	1.38	2.23	0.71	0.73	-1.00	0.41	3.92	9.38	-1.00	1.00	51	122	-1	13	29	1	8	-1	20	0.03	0.28	-1.00	0.69
AnkiDroid	26	0.68	0.29	0.78	2.38	3.08	5.46	0.76	0.63	0.08	0.36	3.92	12.08	0.00	6.54	51	157	0	85	71	28	38	71	42	0.39	0.54	1.00	0.59
AntennaPod	32	0.38	0.34	0.69	0.69	1.75	2.44	0.60	-1.00	0.13	0.21	3.06	-1.00	0.00	0.75	49	-1	0	12	39	17	-1	39	34	0.44	-1.00	1.00	0.87
Calendula	40	0.43	0.18	0.58	1.00	0.65	1.65	0.55	0.56	0.04	0.21	4.40	4.60	0.00	2.75	88	92	0	55	33	11	12	33	19	0.33	0.36	1.00	0.58
ch.hgdev.toposuite	37	0.84	0.11	1.00	17.19	0.32	17.51	0.26	0.18	0.18	0.98	2.00	0.59	0.59	50.59	37	11	11	936	324	294	313	313	1	0.91	0.97	0.97	0.00
com.farmerbb.taskbar	39	0.37	0.38	0.70	0.62	1.23	1.85	0.78	0.40	0.40	0.21	4.10	2.87	2.97	0.41	80	56	58	8	36	12	25	25	35	0.33	0.69	0.69	0.97
com.oriondev.moneywallet	40	0.56	0.17	0.78	1.65	1.20	2.85	0.67	-1.00	-1.00	0.30	4.15	-1.00	-1.00	11.20	83	-1	-1	224	57	29	-1	-1	46	0.51	-1.00	-1.00	0.81
Conversations	41	0.65	0.27	0.82	1.80	0.93	2.73	0.85	-1.00	0.08	0.32	11.41	-1.00	0.00	17.12	234	-1	0	351	56	5	-1	56	24	0.09	-1.00	1.00	0.43
CSipSimple	32	0.52	0.29	0.65	1.06	0.50	1.56	0.74	0.38	-1.00	0.25	3.56	1.00	-1.00	0.44	57	16	-1	7	25	3	18	-1	22	0.12	0.72	-1.00	0.88
EteSync	32	0.23	0.20	0.30	0.31	0.94	1.25	0.43	-1.00	0.10	0.17	2.88	-1.00	0.00	0.44	46	-1	0	7	20	3	-1	20	14	0.15	-1.00	1.00	0.70
eu.vranckaert.worktime	57	0.66	0.15	0.83	1.51	0.60	2.11	0.68	0.51	0.05	0.55	2.32	2.04	0.00	1.54	66	58	0	44	60	19	23	60	28	0.32	0.38	1.00	0.47
fr.ybo.transportsrennes	37	0.35	0.33	0.52	0.86	1.03	1.89	0.70	0.50	0.16	0.76	3.62	6.22	0.00	13.19	67	115	0	244	35	15	17	35	19	0.43	0.49	1.00	0.54
iNaturalist	50	0.75	0.07	0.82	4.04	0.28	4.32	0.67	-1.00	-1.00	0.58	6.28	-1.00	-1.00	13.24	157	-1	-1	331	108	26	-1	-1	62	0.24	-1.00	-1.00	0.57
K9Mail	43	0.49	0.24	0.67	1.30	0.84	2.14	0.78	0.59	-1.00	0.33	5.67	2.84	-1.00	1.53	122	61	-1	33	46	3	20	-1	27	0.07	0.43	-1.00	0.59
Lincal	8	0.41	0.59	0.69	0.75	1.50	2.25	0.75	0.56	0.56	0.44	4.00	1.25	1.25	1.25	16	5	5	5	9	1	6	6	5	0.11	0.67	0.67	0.56
me.blog.korn123.easydiary	26	0.63	0.13	0.78	1.46	0.46	1.92	0.50	0.05	0.05	0.74	5.08	0.00	0.00	25.38	66	0	0	330	25	18	25	25	3	0.72	1.00	1.00	0.12
net.osmand.plus	46	0.27	0.17	0.47	0.48	0.91	1.39	0.65	0.05	0.05	0.40	10.61	0.00	0.00	8.48	244	0	0	195	32	9	32	32	22	0.28	1.00	1.00	0.69
OpenGPSTracker	17	0.54	0.32	0.74	1.06	1.18	2.24	0.82	0.56	0.10	-1.00	4.12	4.82	0.00	-1.00	35	41	0	-1	19	1	7	19	-1	0.05	0.37	1.00	-1.00
OpenKeychain	65	0.36	0.29	0.61	1.08	0.89	1.97	0.68	-1.00	-1.00	0.44	4.83	-1.00	-1.00	18.98	157	-1	-1	617	64	9	-1	-1	28	0.14	-1.00	-1.00	0.44
org.epstudios.epmobile	61	0.72	0.04	0.75	3.28	0.13	3.41	1.00	1.00	1.00	1.00	8.26	4.36	4.36	5.87	252	133	133	179	104	0	33	33	0	0.00	0.32	0.32	0.00
org.liberty.android.fantastischmemo	38	0.68	0.18	0.84	1.68	0.68	2.37	0.53	0.40	0.04	0.28	2.68	3.11	0.00	1.74	51	59	0	33	45	17	22	45	24	0.38	0.49	1.00	0.53
org.smssecure.smssecure	45	0.53	0.32	0.75	1.20	0.84	2.04	0.73	-1.00	0.08	0.43	5.96	-1.00	0.00	13.38	134	-1	0	301	46	9	-1	46	30	0.20	-1.00	1.00	0.65
org.tasks	65	0.12	0.46	0.57	0.25	1.57	1.82	0.40	0.19	-1.00	0.17	2.86	0.86	-1.00	0.52	93	28	-1	17	59	27	47	-1	47	0.46	0.80	-1.00	0.80
Padland	10	0.63	0.53	0.90	1.40	2.40	3.80	0.77	0.20	0.20	0.53	4.40	0.60	0.60	3.60	22	3	3	18	19	3	17	17	6	0.16	0.89	0.89	0.32
PassAndroid	15	0.60	0.32	0.77	1.20	0.80	2.00	0.77	0.78	0.78	0.60	2.80	4.40	4.40	4.67	21	33	33	35	15	2	3	3	5	0.13	0.20	0.20	0.33
pt.joaomneto.titancompanion	92	0.07	0.02	0.08	0.11	0.02	0.13	0.05	0.03	0.01	0.05	0.11	0.09	0.00	0.09	5	4	0	4	6	1	5	6	2	0.17	0.83	1.00	0.33
Simple-Solitaire	7	1.00	0.14	1.00	2.29	0.29	2.57	0.89	0.36	0.36	0.57	2.29	0.86	0.86	0.86	8	3	3	3	9	2	8	8	6	0.22	0.89	0.89	0.67
SteamGifts	14	0.46	0.21	0.71	1.00	0.86	1.86	0.84	0.48	0.48	0.63	4.71	2.14	2.14	8.14	33	15	15	57	13	0	7	7	4	0.00	0.54	0.54	0.31
SuntimesWidget	34	0.41	0.43	0.60	0.53	0.82	1.35	0.83	-1.00	0.22	0.44	14.24	-1.00	0.00	1.18	242	-1	0	20	23	1	-1	23	18	0.04	-1.00	1.00	0.78
syncthing	15	0.73	0.32	0.90	1.33	1.20	2.53	0.62	-1.00	-1.00	0.32	4.13	-1.00	-1.00	0.80	31	-1	-1	6	19	5	-1	-1	14	0.26	-1.00	-1.00	0.74
